ISIN,Alias,IssueDt,DatedDt,MaturityDt,Cpn,Freq,Outstanding,Ticker
DE0001102390,DBRFeb26,2022-Oct-21,2022-Oct-21,2026-Feb-15,0.5,1,"33,500,000,000",DBR
DE0001102408,DBRAug26,2022-Oct-21,2022-Oct-21,2026-Aug-15,0,1,"32,500,000,000",DBR
DE0001102416,DBRFeb27,2020-Apr-16,2020-Apr-16,2027-Feb-15,0.25,1,"30,500,000,000",DBR
DE0001135044,DBRJul27,2020-Apr-16,2020-Apr-16,2027-Jul-4,6.5,1,"13,750,000,000",DBR
DE0001102424,DBRAug27,2022-Oct-21,2022-Oct-21,2027-Aug-15,0.5,1,"32,500,000,000",DBR
DE0001102523,DBRNov27,2020-Sep-15,2020-Sep-15,2027-Nov-15,0,1,"22,000,000,000",DBR
DE0001135069,DBRJan28,2020-Apr-16,2020-Apr-16,2028-Jan-4,5.625,1,"17,000,000,000",DBR
DE0001102440,DBRFeb28,2022-Oct-21,2022-Oct-21,2028-Feb-15,0.5,1,"28,500,000,000",DBR
DE0001135085,DBRJul28,2020-Apr-16,2020-Apr-16,2028-Jul-4,4.75,1,"13,750,000,000",DBR
DE0001102457,DBRAug28,2022-Oct-21,2022-Oct-21,2028-Aug-15,0.25,1,"28,500,000,000",DBR
DE0001102556,DBRNov28,2022-Oct-21,2022-Oct-21,2028-Nov-15,0,1,"27,000,000,000",DBR
DE0001102465,DBRFeb29,2022-Oct-21,2022-Oct-21,2029-Feb-15,0.25,1,"29,500,000,000",DBR
DE0001102473,DBRAug29,2022-Oct-21,2022-Oct-21,2029-Aug-15,0,1,"29,500,000,000",DBR
DE0001102622,DBRNov29,2023-May-31,2023-May-31,2029-Nov-15,2.1,1,"26,000,000,000",DBR
DE0001135143,DBRJan30,2020-Apr-16,2020-Apr-16,2030-Jan-4,6.25,1,"11,750,000,000",DBR
DE0001102499,DBRFeb30,2022-Oct-21,2022-Oct-21,2030-Feb-15,0,1,"28,000,000,000",DBR
DE0001102507,DBRAug30,2022-Jul-20,2022-Jul-20,2030-Aug-15,0,1,"33,500,000,000",DBR
DE000BU27006,DBRNov30,2024-Sep-25,2024-Sep-25,2030-Nov-15,2.4,1,"28,000,000,000",DBR
DE0001135176,DBRJan31,2020-Apr-16,2020-Apr-16,2031-Jan-4,5.5,1,"21,500,000,000",DBR
DE0001102531,DBRFeb31,2022-Oct-21,2022-Oct-21,2031-Feb-15,0,1,"28,000,000,000",DBR
DE0001102564,DBRAug31,2022-Nov-2,2022-Nov-2,2031-Aug-15,0,1,"32,000,000,000",DBR
DE0001102580,DBRFeb32,2022-Oct-21,2022-Oct-21,2032-Feb-15,0,1,"31,000,000,000",DBR
DE0001102606,DBRAug32,2022-Nov-30,2022-Nov-30,2032-Aug-15,1.7,1,"28,000,000,000",DBR
DE000BU27014,DBRNov32,2025-Sep-24,2025-Sep-24,2032-Nov-15,2.5,1,"8,000,000,000",DBR
DE000BU2Z007,DBRFeb33,2023-Jul-5,2023-Jul-5,2033-Feb-15,2.3,1,"38,250,000,000",DBR
DE000BU2Z015,DBRAug33,2023-Nov-29,2023-Nov-29,2033-Aug-15,2.6,1,"30,500,000,000",DBR
DE000BU2Z023,DBRFeb34,2024-Jun-12,2024-Jun-12,2034-Feb-15,2.2,1,"35,000,000,000",DBR
DE0001135226,DBRJul34,2020-Apr-16,2020-Apr-16,2034-Jul-4,4.75,1,"24,500,000,000",DBR
DE000BU2Z031,DBRAug34,2024-Dec-4,2024-Dec-4,2034-Aug-15,2.6,1,"35,000,000,000",DBR
DE000BU2Z049,DBRFeb35,2025-Jun-11,2025-Jun-11,2035-Feb-15,2.5,1,"35,000,000,000",DBR
DE0001102515,DBRMay35,2023-Nov-22,2023-Nov-22,2035-May-15,0,1,"23,750,000,000",DBR
DE000BU2Z056,DBRAug35,2025-Oct-1,2025-Oct-1,2035-Aug-15,2.6,1,"26,000,000,000",DBR
DE0001102549,DBRMay36,2025-Feb-26,2025-Feb-26,2036-May-15,0,1,"27,250,000,000",DBR
DE0001135275,DBRJan37,2023-Apr-26,2023-Apr-26,2037-Jan-4,4,1,"28,250,000,000",DBR
DE0001102598,DBRMay38,2025-Aug-6,2025-Aug-6,2038-May-15,1,1,"31,250,000,000",DBR
DE0001135325,DBRJul39,2023-Mar-1,2023-Mar-1,2039-Jul-4,4.25,1,"19,250,000,000",DBR
DE0001135366,DBRJul40,2025-Sep-10,2025-Sep-10,2040-Jul-4,4.75,1,"23,000,000,000",DBR
DE000BU2F009,DBRMay41,2025-Oct-8,2025-Oct-8,2041-May-15,2.6,1,"17,000,000,000",DBR
DE0001135432,DBRJul42,2025-Oct-8,2025-Oct-8,2042-Jul-4,3.25,1,"22,000,000,000",DBR
DE0001135481,DBRJul44,2025-Jul-9,2025-Jul-9,2044-Jul-4,2.5,1,"33,500,000,000",DBR
DE0001102341,DBRAug46,2025-Aug-20,2025-Aug-20,2046-Aug-15,2.5,1,"35,250,000,000",DBR
DE0001102432,DBRAug48,2025-Sep-17,2025-Sep-17,2048-Aug-15,1.25,1,"41,000,000,000",DBR
DE0001102481,DBRAug50,2025-Mar-19,2025-Mar-19,2050-Aug-15,0,1,"44,500,000,000",DBR
DE0001102572,DBRAug52,2025-Apr-16,2025-Apr-16,2052-Aug-15,0,1,"34,500,000,000",DBR
DE0001102614,DBRAug53,2025-Mar-19,2025-Mar-19,2053-Aug-15,1.8,1,"33,500,000,000",DBR
DE000BU2D004,DBRAug54,2025-Aug-20,2025-Aug-20,2054-Aug-15,2.5,1,"26,500,000,000",DBR
DE000BU2D012,DBRAug56,2025-Sep-17,2025-Sep-17,2056-Aug-15,2.9,1,"15,000,000,000",DBR
